,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,is_organic
536,C1=CC=C(C=C1)C(C#N)O[C@H]2C(C(C(C(O2)COC3[C@H](C(C(C(O3)CO)O)O)O)O)O)O,Inactive,0,True
537,C/C(=C\C=C\C(=C\C=C\C(=O)OC)\C)/C=C\C=C(/C)\C=C/C=C(/C)\C=C/C(=O)O,Inactive,0,True
538,CC(=C)C1CCC(=CC1)C(=O)O,Inactive,0,True
540,CC(C)CCCC(C)C1CCC2[C@]1(CCC3C2CC=C4[C@]3(CCC(C4)O)C)C,Inactive,0,True
545,CCCN1C(=NC2=C(N=C(N=C21)C)NCCCN3CCCCC3C)C4=CC=C(C=C4)F,Active,42,True
553,CC(C)CCCC(C)C1CCC2[C@]1(CCC3C2CC=C4[C@]3(CCC(=O)C4)C)C,Inactive,0,True
556,CCCN1C(=NC2=C(N=C(N=C21)C)NCC(C)(C)CN(C)C)C3=CC=C(C=C3)F,Active,41,True
562,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,Inactive,0,True
563,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC.Cl,Inactive,0,True
565,CC(C)CCCC(C)C1CCC2[C@]1(CCC3C2CC[C@@H]4[C@]3(CCC(=O)C4)C)C,Inactive,0,True
567,CC1CC[C@]2(CCC3(C(=CC(=O)C4[C@@]3(CCC5[C@]4(CCC(C5(C)C)OC(=O)C)C)C)C2C1C)C)C(=O)O,Active,40,True
579,C1=CC=C(C(=C1)CO)O[C@@H]2C(C(C(C(O2)CO)O)O)O,Inactive,0,True
581,CC1CC[C@]23CCC4([C@]5(CCC6[C@](C5C=C[C@]4(C2C1C)OC3=O)(CCC(C6(C)C)O)C)C)C,Active,83,True
582,CCN(CC)CCNC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)OC.Cl,Inactive,0,True
588,CCCCNC(=O)N1C2=CC=CC=C2N=C1NC(=O)OC,Inactive,0,True
597,CC1=CCC(C2C1CC(=O)C(=C2)C)C(C)C,Inactive,0,True
606,C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O.Cl,Inactive,0,True
609,CC1CC[C@]23CCC4([C@]5(CCC6[C@](C5C=C[C@]4(C2C1C)OC3=O)(CCC(=O)C6(C)C)C)C)C,Inactive,0,True
634,CC1=CC=C(C=C1)/C(=C\CN2CCCC2)/C3=CC=CC=N3.Cl,Inactive,0,True
640,CC1C(=O)OC2CCN3C2C(=CC3)COC(=O)[C@]([C@]1(C)O)(C)O,Inactive,0,True
642,CC(=O)C(C(C1=CC=CO1)NC(=O)OC)C(=O)OC,Active,43,True
650,CCCN1C(=NC2=C(N=C(N=C21)C)NCCCCN3CCCC3)C4=CC=C(C=C4)F,Active,41,True
654,C(C(C(=O)O)N)SCSCC(C(=O)O)N,Inactive,0,True
